國文,英文,數學,社會,自然
15,9,8,13,6
10,7,15,13,9
7,14,13,9,9
15,12,10,7,11
6,10,14,6,7
10,13,9,8,12
10,12,12,6,15
11,14,9,12,14
9,10,14,15,10
13,10,6,8,6
8,9,10,11,10
14,8,11,13,6
12,15,10,12,12
9,6,15,8,10
6,15,6,8,10
6,7,15,10,10
9,11,11,9,13
7,9,12,13,8
12,12,14,7,12
8,15,11,6,9
12,7,7,9,11
15,8,12,13,15
11,12,7,15,11
8,6,15,11,15
7,7,8,10,15
6,8,15,12,15
13,11,6,9,15
14,7,14,10,6
12,8,14,15,6
8,6,6,13,15
13,14,12,15,12
14,7,13,11,10
8,9,10,7,9
13,11,14,15,8
7,7,9,12,13
12,13,13,8,15
6,10,14,8,13
14,7,9,6,9
7,8,8,10,7
15,15,6,8,13
13,8,10,11,9
13,11,6,9,7
7,10,11,8,8
13,8,8,7,8
13,7,15,10,6
8,8,8,14,15
6,14,10,8,15
7,13,13,6,11
8,9,6,9,7
9,8,11,8,14
9,6,15,10,13
8,15,11,8,6
8,6,12,9,9
6,11,7,12,8
15,14,11,14,8
15,10,9,7,6
8,12,12,10,13
7,12,13,7,14
6,8,12,6,9
11,11,13,7,14
15,12,15,6,14
10,6,8,12,10
12,12,6,13,14
15,9,10,12,13
7,6,13,12,6
6,12,6,7,14
15,13,10,12,9
9,10,11,10,11
12,7,6,9,11
7,7,14,13,12
13,6,11,12,10
13,15,8,15,13
6,10,13,9,10
12,8,14,15,11
8,10,6,12,7
11,11,8,12,7
12,7,14,12,15
10,7,9,8,8
7,13,13,6,9
8,13,12,12,14
13,9,13,7,9
14,8,12,10,9
10,11,13,10,7
9,6,11,7,15
14,10,14,9,11
10,7,14,10,14
11,13,11,8,8
13,13,7,8,12
10,7,14,7,9
9,14,13,13,6
14,6,14,9,9
9,13,13,7,7
6,14,14,11,10
11,13,13,13,11
10,12,12,15,13
8,11,9,12,13
8,9,15,11,10
8,9,14,9,11
7,12,6,9,8
7,10,12,9,12
